"day","year","month","date","time","address","district","accident_types","suspect_vehicle","victim_vehicle"
"Sunday","2018","1","7","23:30","jenderal ahmad yani","ujung pandang","TK","R2","R4"
"Wednesday","2018","1","10","18:00","manunggal","tamalate","TM","R2","NOV"
"Thursday","2018","1","11","6:30","jenderal sudirman","ujung pandang","TK","R4","R2"
"Tuesday","2018","1","9","19:30","perintis kemerdekaan","tamalanrea","TM","R2","NOV"
"Friday","2018","1","12","15:00","perintis kemerdekaan","biringkanaya","TK","R2","R4"
"Friday","2018","1","12","12:15","perintis kemerdekaan","biringkanaya","TL","R4","R2"
"Wednesday","2018","1","3","23:30","perintis kemerdekaan","tamalanrea","TL","R2","R2"
"Wednesday","2018","1","10","14:00","insinyur sutami","tamalanrea","OC","R2","NOV"
"Friday","2018","1","12","23:00","g. batu putih","makassar","TK","M","R2"
"Friday","2018","1","12","17:00","sultan alauddin","tamalate","T","R2","NOV"
"Saturday","2018","1","13","22:15","perintis kemerdekaan","biringkanaya","TK","R2","R4"
"Saturday","2018","1","13","18:00","perintis kemerdekaan","biringkanaya","TK","R2","R2"
"Sunday","2018","1","14","15:30","insinyur sutami","tamalanrea","TK","R2","R2"
"Sunday","2018","1","14","19:30","kapasa raya","tamalanrea","TK","R2","R4"
"Sunday","2018","1","14","0:00","raya kampus unhas","tamalanrea","TL","R4","R2"
"Monday","2018","1","15","14:30","aroepala","rappocini","TK","R2","R4"
"Saturday","2018","1","13","23:00","urip sumuharjo","panakkukang","TK","R2","R2"
"Monday","2018","1","15","0:30","barawaja","panakkukang","TL","R4","R2"
"Sunday","2018","1","14","21:00","pettarani","rappocini","TK","R2","R4"
"Wednesday","2018","1","10","14:30","insinyur sutami","tamalanrea","OC","R2","NOV"
"Saturday","2018","1","13","17:20","pettarani","panakkukang","TK","R4","R4"
"Tuesday","2018","1","16","15:30","pettarani","panakkukang","TK","R4","R4"
"Saturday","2018","1","13","20:30","dangko","tamalate","TL","R2","R2"
"Wednesday","2018","1","17","7:30","pettarani","panakkukang","TK","R2","R4"
"Wednesday","2018","1","17","14:00","serigala","mamajang","TK","R4","R4"
"Tuesday","2018","1","16","17:30","dr. leimena","manggala","OC","R2","NOV"
"Thursday","2018","1","18","13:00","daeng tata raya","tamalate","OC","R2","NOV"
"Sunday","2018","1","14","9:00","jenderal ahmad yani","ujung pandang","TL","R4","R2"
"Tuesday","2018","1","16","15:30","bandang","bontoala","OC","R2","NOV"
"Friday","2018","1","19","9:30","mesjid raya","bontoala","TK","R4","R2"
"Friday","2018","1","19","9:30","jenderal sudirman","ujung pandang","TK","R4","R2"
"Friday","2018","1","19","8:00","andi mappaodang","tamalate","TK","R2","R4"
"Saturday","2018","1","20","20:30","kerung-kerung","makassar","TK","R2","R2"
"Sunday","2018","1","21","3:30","jenderal ahmad yani","ujung pandang","TK","R2","Rro"
"Friday","2018","1","19","21:30","perintis kemerdekaan","biringkanaya","TK","R2","R2"
"Thursday","2018","1","18","3:30","metro tanjung bunga","tamalate","OC","TR","NOV"
"Thursday","2018","1","18","3:00","sam ratulangi","makassar","TL","R4","R2"
"Monday","2018","1","8","19:00","rusa","makassar","TL","R4","R2"
"Saturday","2018","1","20","19:20","pettarani","panakkukang","TK","R2","R4"
"Monday","2018","1","22","21:40","pengayoman","panakkukang","TK","R2","R4"
"Saturday","2018","1","20","21:00","telegraph utama","biringkanaya","TK","R2","R4"
"Saturday","2018","1","20","22:30","perintis kemerdekaan","biringkanaya","TL","R4","R4"
"Sunday","2018","1","21","21:30","poros perumnas sudiang","biringkanaya","OC","R2","NOV"
"Sunday","2018","1","21","12:30","urip sumuharjo","panakkukang","OC","R2","NOV"
"Saturday","2018","1","19","15:00","rutan","rappocini","TL","R2","NOV"
"Friday","2018","1","19","22:30","cendrawasih","mariso","OC","R2","NOV"
"Friday","2018","1","6","23:40","urip sumuharjo","panakkukang","OC","R2","NOV"
"Saturday","2018","1","25","8:00","datu musseng","ujung pandang","TK","R4","R4"
"Thursday","2018","1","25","15:30","mallombassang","tamalate","TK","R2","R2"
"Thursday","2018","1","24","10:00","jenderal sudirman","ujung pandang","TK","R4","R2"
"Wednesday","2018","1","24","15:30","cendrawasih","mariso","TK","R2","R2"
"Wednesday","2018","1","26","1:10","sam ratulangi","mamajang","TL","R2","NOV"
"Friday","2018","1","23","23:00","datu musseng","ujung pandang","TL","R4","R4"
"Tuesday","2018","1","25","18:45","antang raya","manggala","TK","R2","R2"
"Thursday","2018","1","25","21:30","muhajirin","tamalate","TK","R4","R4"
"Thursday","2018","1","24","17:00","batua raya","panakkukang","TL","R4","R4"
"Wednesday","2018","1","25","17:30","daeng tata raya","tamalate","OC","R2","NOV"
"Thursday","2018","1","25","9:30","pettarani","rappocini","TL","R4","R4"
"Thursday","2018","1","26","7:30","perintis kemerdekaan","biringkanaya","TL","R4","R2"
"Friday","2018","1","25","6:30","kima raya","biringkanaya","TK","R2","R2"
"Thursday","2018","1","26","9:00","perintis kemerdekaan","biringkanaya","TK","R4","R4"
"Friday","2018","1","28","4:56","veteran utara","makassar","TK","R4","R2"
"Sunday","2018","1","28","0:50","pelita raya","rappocini","OC","R4","NOV"
"Sunday","2018","1","26","9:00","urip sumuharjo","makassar","OC","R2","NOV"
"Friday","2018","1","26","20:00","perintis kemerdekaan","tamalanrea","T","R2","NOV"
"Friday","2018","1","29","22:00","tala' salapang i","rappocini","TL","R2","NOV"
"Monday","2018","1","29","13:45","profesor abdurrahman basalamah","panakkukang","TK","R2","R2"
"Monday","2018","1","27","9:30","letjen hertasning","rappocini","TK","R2","R4"
"Saturday","2018","1","28","0:30","veteran selatan","mamajang","TL","R4","R2"
"Sunday","2018","1","29","14:00","gunung bawakaraeng","ujung pandang","TK","R2","R2"
"Monday","2018","1","30","18:10","kerukunan timur 1","tamalanrea","TM","R2","NOV"
"Tuesday","2018","1","30","23:20","salodong","biringkanaya","TK","R4","R2"
"Tuesday","2018","1","30","7:00","sungai saddang","makassar","TK","R4","R2"
"Tuesday","2018","1","30","14:00","urip sumuharjo","panakkukang","TL","R4","R2"
"Tuesday","2018","1","28","10:30","ujung bor","manggala","TL","R4","R2"
"Sunday","2018","1","30","15:50","kartini","ujung pandang","TL","R2","NOV"
"Tuesday","2018","1","31","6:30","urip sumuharjo","panakkukang","TL","R4","R2"
"Wednesday","2018","1","31","10:30","cendrawasih","mariso","TK","R2","R2"
"Wednesday","2018","1","31","11:30","perintis kemerdekaan","tamalanrea","TM","R2","NOV"
"Wednesday","2018","1","30","20:30","dg. regge","tallo","TL","R4","R2"
"Tuesday","2018","2","1","8:30","andi mappaodang","tamalate","TL","R2","R2"
"Thursday","2018","2","2","8:30","urip sumuharjo","panakkukang","TL","R2","NOV"
"Friday","2018","2","2","0:30","veteran utara","makassar","TM","R2","NOV"
"Friday","2018","2","2","5:50","metro tanjung bunga","mariso","OC","R2","NOV"
"Friday","2018","2","2","15:00","borong raya","manggala","TK","R2","R2"
"Friday","2018","2","1","9:50","inspeksi pam","makassar","TL","R2","NOV"
"Thursday","2018","2","2","22:30","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Friday","2018","2","4","18:05","urip sumuharjo","panakkukang","TK","R4","R4"
"Sunday","2018","2","4","17:30","pettarani","panakkukang","OC","R2","NOV"
"Sunday","2018","2","4","6:00","cendrawasih","mariso","TL","R2","R2"
"Sunday","2018","2","3","11:30","urip sumuharjo","panakkukang","OC","B2","NOV"
"Saturday","2018","2","3","11:00","sungai saddang","ujung pandang","TL","R2","R2"
"Saturday","2018","2","2","22:00","mesjid raya","bontoala","TL","R4","R2"
"Friday","2018","2","2","17:30","perintis kemerdekaan","panakkukang","TK","R2","R2"
"Friday","2018","2","1","13:20","inspeksi kanal","panakkukang","TL","R4","B1"
"Thursday","2018","2","4","21:00","antang raya","manggala","OC","R2","NOV"
"Sunday","2018","1","30","10:15","urip sumuharjo","panakkukang","TL","R2","R2"
"Tuesday","2018","2","1","11:30","kima raya","tamalanrea","TK","R2","TR"
"Thursday","2018","2","5","9:20","paccerakkang","biringkanaya","TM","R2","NOV"
"Monday","2018","2","5","21:30","perintis kemerdekaan","biringkanaya","TK","R2","R2"
"Monday","2018","1","30","6:40","toddopuli raya","panakkukang","TK","R2","R4"
"Tuesday","2018","2","5","18:00","urip sumuharjo","panakkukang","TL","R4","R2"
"Monday","2018","1","4","1:10","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Thursday","2018","2","7","13:30","somba opu","ujung pandang","TL","R2","R2"
"Wednesday","2018","2","5","22:00","barawaja","panakkukang","TL","R2","R2"
"Monday","2018","2","8","7:20","sunu","bontoala","TK","R4","R2"
"Thursday","2018","2","6","6:00","thamrin","ujung pandang","OC","R2","NOV"
"Tuesday","2018","2","5","8:40","sultan hasanuddin","ujung pandang","TK","R2","R2"
"Monday","2018","2","7","16:00","adipura","panakkukang","TL","R2","NOV"
"Wednesday","2018","2","6","11:30","perintis kemerdekaan","biringkanaya","TL","R4","R4"
"Tuesday","2018","2","8","10:00","sam ratulangi","mariso","TL","R4","R2"
"Thursday","2018","2","7","21:30","insinyur sutami","biringkanaya","OC","R2","NOV"
"Wednesday","2018","2","2","22:30","pettarani","panakkukang","TL","R4","R2"
"Friday","2018","2","9","16:30","haji bau","mariso","TL","R4","R4"
"Friday","2018","2","9","11:00","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Friday","2018","2","10","7:00","pajaiang","biringkanaya","TK","R2","R2"
"Saturday","2018","2","8","17:45","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Thursday","2018","2","9","20:00","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Friday","2018","2","11","9:00","kima raya","biringkanaya","OC","R2","NOV"
"Sunday","2018","2","9","0:30","perintis kemerdekaan","tamalanrea","TM","R2","NOV"
"Friday","2018","2","9","2:00","cendrawasih","mamajang","OC","R2","NOV"
"Friday","2018","2","10","11:00","veteran utara","makassar","TL","R2","NOV"
"Saturday","2018","2","10","7:30","tamangapa raya","manggala","TM","R2","NOV"
"Saturday","2018","2","12","11:30","monginsidi","ujung pandang","OC","R2","NOV"
"Monday","2018","2","13","21:00","manggis","ujung pandang","OC","R4","NOV"
"Tuesday","2018","2","14","15:30","batara bira","biringkanaya","TK","R4","R2"
"Wednesday","2018","2","1","16:00","bakung","biringkanaya","TL","R2","R2"
"Thursday","2018","2","13","23:00","paccerakkang","biringkanaya","TL","R4","R2"
"Tuesday","2018","2","14","16:30","villa mutiara","biringkanaya","OC","R2","NOV"
"Wednesday","2018","2","14","15:30","bonto duri","tamalate","TM","R4","NOV"
"Wednesday","2018","2","14","20:00","pettarani","rappocini","T","R2","NOV"
"Wednesday","2018","2","14","21:30","nipa nipa","manggala","TM","R2","NOV"
"Wednesday","2018","2","14","12:00","urip sumuharjo","panakkukang","TK","R4","R4"
"Wednesday","2018","2","15","0:25","pettarani","panakkukang","OC","R2","NOV"
"Thursday","2018","2","15","6:45","malengkeri","tamalate","TL","R4","R2"
"Thursday","2018","2","17","12:30","veteran utara","makassar","T","R2","NOV"
"Saturday","2018","2","15","9:30","sam ratulangi","mariso","TL","R2","R2"
"Thursday","2018","2","14","19:00","ance daeng ngoyo","panakkukang","TK","R2","R4"
"Wednesday","2018","1","14","9:00","dangko","tamalate","OC","R2","NOV"
"Sunday","2018","2","16","21:00","cilallang","rappocini","OC","R2","NOV"
"Friday","2018","2","17","19:30","monginsidi","makassar","TL","R2","R4"
"Saturday","2018","2","17","17:30","pettarani","rappocini","TL","R2","R2"
"Saturday","2018","2","15","7:30","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Thursday","2018","2","16","2:00","telegraph utama","biringkanaya","TK","R2","R4"
"Friday","2018","2","15","16:00","perintis kemerdekaan","biringkanaya","TK","R2","R4"
"Thursday","2018","2","18","2:30","insinyur sutami","biringkanaya","TK","R4","TR"
"Sunday","2018","2","16","13:30","gn. latimojong","makassar","TK","R2","R4"
"Friday","2018","2","10","13:30","amanagapa","ujung pandang","TK","R4","R2"
"Saturday","2018","2","18","15:00","metro tanjung bunga","tamalate","TL","R4","R2"
"Sunday","2018","2","19","10:30","cendrawasih","mamajang","OC","R2","NOV"
"Monday","2018","2","14","18:00","andi tonro","tamalate","TM","R2","NOV"
"Wednesday","2018","2","20","0:20","perintis kemerdekaan","tamalanrea","TK","R2","R4"
"Tuesday","2018","2","17","23:30","paccerakkang","biringkanaya","TL","R2","R2"
"Saturday","2018","2","18","19:00","tamangapa raya","manggala","TK","R2","R2"
"Sunday","2018","2","18","16:00","urip sumuharjo","panakkukang","OC","R2","NOV"
"Sunday","2018","2","19","10:00","pettarani","rappocini","TL","R4","R2"
"Monday","2018","2","18","19:15","profesor abdurrahman basalamah","panakkukang","OC","R2","NOV"
"Sunday","2018","2","17","19:00","insinyur sutami","biringkanaya","TK","R4","R4"
"Saturday","2018","2","20","12:30","tamalanrea raya","tamalanrea","OC","R2","NOV"
"Tuesday","2018","2","19","20:30","lasuloro","manggala","TL","R4","NOV"
"Monday","2018","2","19","22:30","urip sumuharjo","panakkukang","TL","R2","R2"
"Monday","2018","2","15","2:10","tamangapa raya","manggala","TK","R2","R2"
"Thursday","2018","2","21","9:00","pajukukang","tamalate","TL","R2","R2"
"Wednesday","2018","2","19","20:00","metro tanjung bunga","mariso","TL","R2","R2"
"Monday","2018","2","21","17:00","gagak","mariso","TL","R2","NOV"
"Wednesday","2018","2","15","17:30","pettarani","rappocini","TK","TR","R2"
"Thursday","2018","2","21","7:30","pettarani","rappocini","TL","R2","R2"
"Wednesday","2018","2","22","21:30","metro tanjung bunga","tamalate","TL","R2","R2"
"Thursday","2018","2","20","13:30","kakatua ii","mariso","TK","R2","R2"
"Tuesday","2018","2","21","13:00","kapasa raya","tamalanrea","OC","R2","NOV"
"Wednesday","2018","2","23","7:30","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Friday","2018","2","23","16:30","perintis kemerdekaan","biringkanaya","TK","R2","R4"
"Friday","2018","2","22","13:00","urip sumuharjo","panakkukang","TL","R2","NOV"
"Thursday","2018","2","22","10:00","gotong royong","panakkukang","TL","R2","R2"
"Thursday","2018","2","22","0:30","abdullah daeng sirua","manggala","OC","R2","NOV"
"Thursday","2018","2","24","11:30","andalas","bontoala","TK","R2","B2"
"Saturday","2018","2","23","7:00","sultan alauddin","tamalate","OC","R2","NOV"
"Friday","2018","2","24","13:45","sultan alauddin","tamalate","TL","R2","R2"
"Saturday","2018","2","25","6:30","cendrawasih","mamajang","TK","R2","R2"
"Sunday","2018","2","22","11:30","pettarani","rappocini","OC","R4","NOV"
"Thursday","2018","2","25","5:30","insinyur sutami","biringkanaya","TK","R4","R4"
"Sunday","2018","2","25","14:00","batara bira","biringkanaya","TK","B","B"
"Sunday","2018","2","23","19:00","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Friday","2018","2","25","10:30","perintis kemerdekaan","tamalanrea","TL","R2","R2"
"Sunday","2018","2","26","16:00","kerung-kerung","makassar","TL","R4","R4"
"Monday","2018","2","24","3:00","pampang raya","panakkukang","TK","R2","NOV"
"Saturday","2018","2","24","19:00","sultan alauddin","rappocini","OC","R2","NOV"
"Saturday","2018","2","25","8:45","pettarani","panakkukang","TL","R2","R2"
"Sunday","2018","2","27","14:00","banta bantaeng","rappocini","TL","R4","R2"
"Tuesday","2018","2","26","7:45","metro tanjung bunga","tamalate","OC","R4","NOV"
"Monday","2018","2","20","14:00","pannampu","tallo","TM","R2","NOV"
"Tuesday","2018","2","27","8:00","sultan hasanuddin","ujung pandang","TL","R4","R2"
"Tuesday","2018","2","27","17:30","sultan hasanuddin","ujung pandang","TM","R4","NOV"
"Tuesday","2018","2","26","11:30","toddopuli","panakkukang","TK","R2","R2"
"Monday","2018","2","27","21:45","cendrawasih","mariso","TL","R2","R2"
"Tuesday","2018","3","1","4:00","mesjid muhajirin","panakkukang","TL","R2","R2"
"Thursday","2018","3","1","12:30","veteran selatan","mamajang","TK","R4","R4"
"Thursday","2018","2","28","14:30","perintis kemerdekaan","biringkanaya","TK","R2","R4"
"Wednesday","2018","3","1","11:30","insinyur sutami","biringkanaya","T","R2","NOV"
"Thursday","2018","3","1","12:30","kapasa raya","biringkanaya","T","R2","NOV"
"Thursday","2018","2","27","16:30","daeng tata raya","tamalate","T","R2","NOV"
"Tuesday","2018","3","2","10:30","raya kampus unhas","tamalanrea","TK","R2","R2"
"Friday","2018","3","2","20:00","metro tanjung bunga","tamalate","TK","R3","R4"
"Friday","2018","3","2","2:30","pettarani","rappocini","TK","R2","R2"
"Friday","2018","3","3","3:40","urip sumuharjo","panakkukang","TK","R4","R4"
"Saturday","2018","3","3","3:40","gunung bawakaraeng","bontoala","TL","R2","NOV"
"Saturday","2018","3","1","19:00","gunung bawakaraeng","bontoala","TK","R2","R4"
"Thursday","2018","3","2","1:30","kima iii","biringkanaya","T","R2","NOV"
"Friday","2018","3","4","1:00","metro tanjung bunga","tamalate","T","R2","NOV"
"Sunday","2018","3","3","9:30","urip sumuharjo","panakkukang","TK","R4","R2"
"Saturday","2018","3","2","9:30","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Friday","2018","3","4","18:30","andi mappaodang","tamalate","OC","R2","NOV"
"Sunday","2018","3","5","0:05","dg. regge","tallo","TL","R2","R2"
"Monday","2018","3","4","21:30","pettarani","rappocini","TK","B2","R2"
"Sunday","2018","3","3","17:30","andi tonro","tamalate","TL","R4","R4"
"Saturday","2018","3","3","6:00","sultan alauddin","tamalate","TK","R4","R2"
"Saturday","2018","3","3","10:30","dr. leimena","manggala","TK","R4","R2"
"Saturday","2018","3","2","19:30","nipa nipa","manggala","TK","R4","R2"
"Friday","2018","3","3","20:30","abdullah daeng sirua","panakkukang","TL","R2","R2"
"Saturday","2018","3","1","6:30","sunu","tallo","OC","R2","NOV"
"Thursday","2018","2","27","17:00","andi mappaodang","tamalate","OC","R4","NOV"
"Tuesday","2018","3","5","15:30","metro tanjung bunga","tamalate","TL","R4","R4"
"Monday","2018","3","5","9:00","datuk ditiro","tallo","TL","R2","R4"
"Monday","2018","3","1","3:00","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Thursday","2018","3","5","5:45","insinyur sutami","biringkanaya","TL","R4","NOV"
"Monday","2018","2","26","8:30","jenderal sudirman","ujung pandang","TK","R2","R2"
"Monday","2018","3","5","18:40","adyaksa","panakkukang","TL","R4","R2"
"Monday","2018","1","17","14:30","bakung","biringkanaya","OC","R2","NOV"
"Wednesday","2018","2","27","23:20","janggo paropo","panakkukang","TK","R2","R2"
"Tuesday","2018","3","5","7:00","sungai saddang","makassar","T","R2","NOV"
"Monday","2018","3","7","21:30","urip sumuharjo","panakkukang","TK","R2","R4"
"Wednesday","2018","3","8","8:30","kaswari","mariso","TL","R4","R4"
"Thursday","2018","3","9","11:30","daeng tata raya iii","tamalate","T","R2","NOV"
"Friday","2018","3","9","19:30","urip sumuharjo","panakkukang","TM","R2","NOV"
"Friday","2018","3","10","14:30","thamrin","ujung pandang","TK","B1","R4"
"Saturday","2018","3","10","11:30","satelit i","biringkanaya","TK","R2","R2"
"Saturday","2018","3","10","17:00","pettarani","panakkukang","TL","R4","R2"
"Saturday","2018","3","11","15:00","jipang raya","rappocini","TK","R4","R2"
"Sunday","2018","3","4","19:00","letjen hertasning","rappocini","OC","R2","NOV"
"Sunday","2018","3","10","22:00","katimbang","biringkanaya","T","R2","NOV"
"Saturday","2018","3","11","18:20","perintis kemerdekaan","biringkanaya","TK","R4","R4"
"Sunday","2018","3","11","0:30","veteran utara","makassar","TM","R2","NOV"
"Sunday","2018","3","13","3:30","puri raya","manggala","TK","R2","R4"
"Tuesday","2018","3","9","18:00","sungai walanae","makassar","TK","R2","R4"
"Friday","2018","3","11","9:30","parumpa","biringkanaya","TL","R2","NOV"
"Sunday","2018","3","13","17:00","pettarani","rappocini","TL","R2","R2"
"Tuesday","2018","3","13","19:30","waduk tunggu pampang","manggala","TL","R2","R2"
"Tuesday","2018","3","13","17:00","jenderal sudirman","ujung pandang","TL","R2","R2"
"Tuesday","2018","3","6","4:30","andi mappanyukki","mariso","TL","R2","NOV"
"Tuesday","2018","3","12","11:00","perintis kemerdekaan","tamalanrea","T","R2","NOV"
"Monday","2018","3","13","14:30","insinyur sutami","biringkanaya","T","R2","NOV"
"Tuesday","2018","2","28","23:35","perintis kemerdekaan","biringkanaya","T","R2","NOV"
"Wednesday","2018","3","11","13:30","sawerigading","ujung pandang","TK","R4","R4"
"Sunday","2018","3","13","17:00","tamalanrea raya","tamalanrea","T","R2","NOV"
"Tuesday","2018","3","14","15:15","manunggal","tamalate","TL","R2","NOV"
"Wednesday","2018","3","12","23:00","urip sumuharjo","panakkukang","T","R2","NOV"
"Monday","2018","3","14","4:30","insinyur sutami","tamalanrea","T","R2","NOV"
"Wednesday","2018","3","14","5:30","urip sumuharjo","panakkukang","T","R2","NOV"
"Wednesday","2018","3","15","22:00","manuruki raya","tamalate","T","B2","NOV"
"Thursday","2018","3","16","22:00","urip sumuharjo","panakkukang","TM","R2","NOV"
"Friday","2018","3","18","13:50","malengkeri","tamalate","TK","R4","R2"
"Sunday","2018","3","16","19:30","veteran selatan","makassar","TL","R4","R2"
"Friday","2018","3","17","17:30","manunggal","tamalate","TK","R2","R2"
"Saturday","2018","3","17","17:00","sultan alauddin","tamalate","TL","R2","NOV"
"Saturday","2018","3","16","23:56","boulevard","panakkukang","TK","R2","R2"
"Friday","2018","3","17","1:00","manuruki raya","tamalate","TK","R2","R2"
"Saturday","2018","3","15","11:15","cendrawasih","mamajang","OC","R2","NOV"
"Thursday","2018","3","17","20:00","perintis kemerdekaan","biringkanaya","TK","R2","R2"
"Saturday","2018","3","17","4:00","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Saturday","2018","3","8","12:00","perintis kemerdekaan","tamalanrea","TL","R4","R2"
"Thursday","2018","3","16","5:30","insinyur sutami","tamalanrea","TK","TR","R4"
"Friday","2018","3","19","11:00","pettarani","rappocini","OC","TR","NOV"
"Monday","2018","3","18","21:00","tol reformasi","tallo","TK","TR","R4"
"Sunday","2018","3","19","8:00","toddopuli v","panakkukang","TL","R2","R2"
"Monday","2018","3","17","9:00","toddopuli timur","panakkukang","TL","R2","R2"
"Saturday","2018","3","10","19:30","haji kalla","panakkukang","OC","R2","NOV"
"Saturday","2018","3","18","15:00","hartaco indah","tamalate","TM","R2","NOV"
"Sunday","2018","3","19","14:20","insinyur sutami","tamalanrea","TL","R2","R2"
"Monday","2018","3","20","8:00","perintis kemerdekaan","biringkanaya","TL","R4","R2"
"Tuesday","2018","3","19","22:00","paccerakkang","biringkanaya","TL","R2","R2"
"Monday","2018","3","19","17:00","arief rate","ujung pandang","TK","R2","R4"
"Monday","2018","3","20","11:00","toddopuli x","panakkukang","TL","R2","R2"
"Tuesday","2018","3","14","22:30","tamalanrea jaya","tamalanrea","TK","R4","R2"
"Wednesday","2018","3","21","17:00","pettarani","rappocini","OC","R2","NOV"
"Wednesday","2018","3","21","12:00","veteran selatan","makassar","TL","R2","R2"
"Wednesday","2018","3","17","11:00","daeng tata raya","tamalate","TL","R2","R2"
"Saturday","2018","3","20","7:30","sultan alauddin","rappocini","OC","R2","NOV"
"Tuesday","2018","3","21","11:30","pettarani","panakkukang","TK","R2","R4"
"Wednesday","2018","3","20","17:10","pengayoman","panakkukang","TK","R4","R2"
"Tuesday","2018","3","15","20:00","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Thursday","2018","3","21","6:00","daeng tata raya iii","tamalate","OC","R2","NOV"
"Wednesday","2018","3","19","16:00","pettarani","panakkukang","TM","R2","NOV"
"Monday","2018","3","22","10:00","aroepala","rappocini","TK","R2","R4"
"Thursday","2018","3","19","15:00","sultan alauddin","rappocini","TL","TR","R4"
"Monday","2018","3","21","7:30","sunu","tallo","TK","R2","R2"
"Wednesday","2018","3","16","17:15","nipa nipa","manggala","TL","R2","R2"
"Friday","2018","3","24","23:45","pettarani","rappocini","TK","R4","R4"
"Saturday","2018","3","24","2:21","barawaja","panakkukang","TK","R2","R2"
"Saturday","2018","3","24","0:30","pettarani","rappocini","TK","R2","R4"
"Saturday","2018","3","21","23:00","aroepala","rappocini","TK","R4","R4"
"Wednesday","2018","3","23","14:15","raya telkomas","biringkanaya","OC","R2","NOV"
"Friday","2018","3","23","21:00","perintis kemerdekaan","biringkanaya","TK","R4","R4"
